"","PID","upid","regions"
"1","0200396002",2,"Charlestown, Jamaica Plain"
"2","0200447002",2,"Charlestown, Jamaica Plain"
"3","0300086002",2,"Back Bay-Beacon Hill, Charlestown"
"4","0302347086",2,"Central, Jamaica Plain"
"5","0302807006",2,"Central, Hyde Park"
"6","0304782016",3,"Allston-Brighton, Central, South End"
"7","0400002002",2,"Back Bay-Beacon Hill, South End"
"8","0400054002",2,"Back Bay-Beacon Hill, South End"
"9","0400110002",2,"Back Bay-Beacon Hill, South End"
"10","0400213006",2,"Back Bay-Beacon Hill, South End"
"11","0400213010",2,"Back Bay-Beacon Hill, South End"
"12","0400213022",2,"Back Bay-Beacon Hill, South End"
"13","0401418004",2,"Fenway-Kenmore, South End"
"14","0501048002",2,"Back Bay-Beacon Hill, South End"
"15","0501063002",2,"Back Bay-Beacon Hill, South End"
"16","0501063008",2,"Back Bay-Beacon Hill, South End"
"17","0501443002",2,"Back Bay-Beacon Hill, Charlestown"
"18","0501454001",2,"Back Bay-Beacon Hill, Charlestown"
"19","0501460002",2,"Back Bay-Beacon Hill, Charlestown"
"20","0501588002",2,"Back Bay-Beacon Hill, Charlestown"
"21","0502147006",2,"Back Bay-Beacon Hill, Jamaica Plain"
"22","0502148002",2,"Back Bay-Beacon Hill, Jamaica Plain"
"23","0702941002",2,"Jamaica Plain, North Dorchester"
"24","1100769004",2,"Roxbury, South Dorchester"
"25","1200745002",2,"Roxbury, West Roxbury"
"26","1302090002",2,"Charlestown, North Dorchester"
"27","1302092002",2,"Charlestown, North Dorchester"
"28","1302093002",2,"Charlestown, North Dorchester"
"29","1401492006",2,"Charlestown, South Dorchester"
"30","1600063002",2,"Allston-Brighton, South Dorchester"
"31","1600066008",2,"Allston-Brighton, South Dorchester"
"32","1605057002",2,"Hyde Park, South Dorchester"
"33","1900370002",2,"Jamaica Plain, Roxbury"
"34","1900630006",2,"Jamaica Plain, Roxbury"
"35","1900630008",2,"Jamaica Plain, Roxbury"
"36","1900788002",2,"Jamaica Plain, Roxbury"
"37","1901141002",2,"Allston-Brighton, Jamaica Plain"
"38","1901931004",2,"Jamaica Plain, Roxbury"
"39","1901933002",2,"Jamaica Plain, Roxbury"
